X [s],R BICEPS BRACHII 1: EMG 1->Subset [Volts],R FLEXOR CARPI RADIALIS 2: EMG 2->Subset [Volts],R EXTENSOR CARPI RADIALIS 3: EMG 3->Subset [Volts]
0.055557692,-3.36E-06,7.10E-05,-7.72E-06
0.056076923,-2.35E-06,2.17E-05,-9.23E-06
0.056596154,-2.18E-06,6.06E-05,-1.93E-05
0.057115385,-3.36E-06,0.000121355,-3.00E-05
0.057634615,-1.85E-06,3.39E-05,-3.24E-05
0.058153846,-1.85E-06,-6.66E-05,-2.28E-05
0.058673077,-1.01E-06,-2.06E-05,-6.88E-06
0.059192308,-2.85E-06,-2.10E-05,5.20E-06
0.059711538,-1.68E-06,-1.29E-05,6.55E-06
0.060230769,-2.01E-06,-2.17E-05,3.02E-06
0.06075,-3.02E-06,-6.16E-05,2.01E-06
0.061269231,-5.71E-06,-0.000121859,-7.39E-06
0.061788462,-6.21E-06,-0.000151232,-1.23E-05
0.062307692,-5.87E-06,-0.000160632,-5.20E-06
0.062826923,-5.71E-06,-7.99E-05,-5.04E-07
0.063346154,-3.52E-06,-1.12E-05,1.14E-05
0.063865385,-3.52E-06,8.83E-05,1.44E-05
0.064384615,-5.54E-06,0.000158282,1.61E-05
0.064903846,-6.88E-06,6.63E-05,1.01E-05
0.065423077,-2.85E-06,-0.000160967,3.19E-06
0.065942308,-4.70E-06,-6.23E-05,-2.52E-06
0.066461538,-6.38E-06,0.000178759,-8.73E-06
0.066980769,-6.38E-06,0.000244053,-1.80E-05
0.0675,-8.73E-06,0.000161303,-2.65E-05
0.068019231,-8.22E-06,0.000118837,-2.87E-05
0.068538462,-4.70E-06,0.000107927,-3.16E-05
0.069057692,-3.86E-06,9.97E-05,-3.26E-05
0.069576923,-1.68E-07,8.29E-05,-3.76E-05
0.070096154,-5.20E-06,3.00E-05,-4.62E-05
0.070615385,-1.12E-05,-4.40E-05,-5.09E-05
0.071134615,-1.49E-05,-0.000141329,-5.89E-05
0.071653846,-1.23E-05,-0.000241199,-6.45E-05
0.072173077,-1.23E-05,-0.000273594,-5.39E-05
0.072692308,-8.39E-06,-0.0002224,-4.55E-05
0.073211538,-8.56E-06,-9.25E-05,-3.64E-05
0.073730769,-1.02E-05,1.11E-05,-2.57E-05
0.07425,-6.88E-06,4.62E-05,-2.06E-05
0.074769231,-4.36E-06,4.20E-06,-2.08E-05
0.075288462,-3.02E-06,-7.07E-05,-2.23E-05
0.075807692,-5.04E-07,-0.000134112,-2.43E-05
0.076326923,1.85E-06,-0.000116991,-2.87E-05
0.076846154,-1.85E-06,-7.22E-05,-2.45E-05
0.077365385,1.68E-07,-1.31E-05,-2.47E-05
0.077884615,-1.68E-06,5.93E-05,-1.51E-05
0.078403846,-4.20E-06,9.62E-05,-7.89E-06
0.078923077,-4.36E-06,8.64E-05,-6.21E-06
0.079442308,-5.04E-07,1.02E-05,-8.22E-06
0.079961538,-4.36E-06,-0.00010927,-8.22E-06
0.080480769,-5.54E-06,-0.00018732,-9.57E-06
0.081,-6.21E-06,-0.000218708,-5.54E-06
0.081519231,-3.36E-06,-0.000199573,-8.90E-06
0.082038462,-5.20E-06,-0.00013109,-9.57E-06
0.082557692,-6.55E-06,-4.36E-05,-1.31E-05
0.083076923,-8.22E-06,3.05E-05,-1.64E-05
0.083596154,-7.05E-06,8.95E-05,-1.85E-05
0.084115385,-8.56E-06,0.000129412,-1.09E-05
0.084634615,-6.21E-06,0.000153246,-9.90E-06
0.085153846,-4.36E-06,3.98E-05,-1.19E-05
0.085673077,-4.20E-06,-0.000217365,-1.29E-05
0.086192308,-6.38E-06,-0.00029659,-1.33E-05
0.086711538,-9.74E-06,-0.000246403,-2.30E-05
0.087230769,-1.19E-05,-0.000162814,-2.47E-05
0.08775,-6.88E-06,-7.35E-05,-1.96E-05
0.088269231,-1.29E-05,-3.05E-05,-1.39E-05
0.088788462,-1.06E-05,2.67E-05,-1.36E-05
0.089307692,-8.56E-06,0.000113634,-6.04E-06
0.089826923,-8.90E-06,9.35E-05,-6.55E-06
0.090346154,-1.29E-05,5.09E-05,-7.72E-06
0.090865385,-1.09E-05,-6.29E-05,-1.68E-06
0.091384615,-6.71E-06,-9.62E-05,3.02E-06
0.091903846,-8.39E-06,-1.33E-05,4.36E-06
0.092423077,-1.09E-05,2.25E-05,-4.20E-06
0.092942308,-6.21E-06,3.14E-05,-1.53E-05
0.093461538,-5.04E-06,4.65E-05,-2.70E-05
0.093980769,-4.53E-06,9.45E-05,-3.21E-05
0.0945,-4.53E-06,7.67E-05,-2.92E-05
0.095019231,-4.20E-06,6.65E-05,-1.64E-05
0.095538462,-3.02E-06,0.000109941,1.68E-07
0.096057692,-7.05E-06,0.000142168,-5.04E-07
0.096576923,-7.72E-06,0.000170703,-3.86E-06
0.097096154,-2.01E-06,0.000114977,-6.88E-06
0.097615385,-8.22E-06,-7.55E-06,-8.56E-06
0.098134615,-4.53E-06,-3.74E-05,-9.90E-06
0.098653846,-7.55E-06,2.08E-05,-1.29E-05
0.099173077,-8.39E-07,6.92E-05,-1.70E-05
0.099692308,8.39E-07,9.42E-05,-1.70E-05
0.100211538,-1.17E-06,0.000131762,-2.10E-05
0.100730769,0,0.000143008,-2.47E-05
0.10125,-5.04E-07,7.35E-05,-1.98E-05
0.101769231,2.01E-06,-1.63E-05,-1.33E-05
0.102288462,1.17E-06,-7.32E-05,-1.73E-05
0.102807692,-1.17E-06,-0.000101213,-1.12E-05
0.103326923,-1.17E-06,1.56E-05,-6.21E-06
0.103846154,1.68E-07,0.000147707,-1.11E-05
0.104365385,1.01E-06,0.000115984,-1.76E-05
0.104884615,-2.69E-06,-0.000114641,-2.27E-05
0.105403846,1.68E-07,-0.000221393,-2.92E-05
0.105923077,-2.01E-06,-0.000134951,-2.87E-05
0.106442308,-1.85E-06,-0.000187488,-2.43E-05
0.106961538,-3.86E-06,-0.000399649,-2.00E-05
0.107480769,-4.53E-06,-0.000160464,-1.06E-05
0.108,-8.39E-07,-1.68E-07,5.04E-07
0.108519231,1.68E-07,-5.69E-05,4.20E-06
0.109038462,-1.17E-06,-3.74E-05,1.14E-05
0.109557692,-1.68E-06,-1.59E-05,1.14E-05
0.110076923,-4.03E-06,-7.13E-05,-1.17E-06
0.110596154,-4.03E-06,-0.000200076,-1.06E-05
0.111115385,-4.87E-06,-0.000224582,-1.90E-05
0.111634615,-5.87E-06,-0.000178424,-2.74E-05
0.112153846,-6.88E-06,-0.000123705,-2.97E-05
0.112673077,-4.87E-06,-5.15E-05,-3.29E-05
0.113192308,-7.89E-06,8.17E-05,-2.33E-05
0.113711538,-1.68E-06,0.000176745,-1.09E-05
0.114230769,-1.68E-06,0.000152239,-4.20E-06
0.11475,-1.85E-06,8.69E-05,6.88E-06
0.115269231,-2.18E-06,6.23E-05,1.51E-06
0.115788462,-5.87E-06,-1.83E-05,-9.57E-06
0.116307692,-6.38E-06,-3.02E-05,-9.06E-06
0.116826923,-7.55E-06,3.17E-05,-1.33E-05
0.117346154,-4.53E-06,0.000124544,-1.17E-05
0.117865385,-1.17E-06,0.000148211,-4.87E-06
0.118384615,-1.68E-06,1.59E-05,5.04E-06
0.118903846,-3.52E-06,-1.46E-05,8.56E-06
0.119423077,-3.36E-06,3.91E-05,-7.55E-06
0.119942308,-8.39E-06,0.000137133,-3.31E-05
0.120461538,-6.88E-06,0.000208301,-4.52E-05
0.120980769,-7.89E-06,-6.13E-05,-4.18E-05
0.1215,-2.01E-06,-0.000561456,-1.76E-05
0.122019231,-1.51E-06,-0.000301961,-2.18E-06
0.122538462,-4.20E-06,-0.000160296,9.90E-06
0.123057692,-2.69E-06,-0.000175067,1.49E-05
0.123576923,-3.02E-06,-0.000121691,1.26E-05
0.124096154,-1.51E-06,-7.55E-06,7.72E-06
0.124615385,-5.20E-06,3.96E-05,8.39E-07
0.125134615,-4.20E-06,2.25E-05,-5.54E-06
0.125653846,-5.20E-06,-3.91E-05,-1.54E-05
0.126173077,-8.90E-06,-9.01E-05,-2.72E-05
0.126692308,-4.20E-06,-2.89E-05,-3.09E-05
0.127211538,-7.22E-06,9.85E-05,-2.64E-05
0.127730769,-6.21E-06,0.000178424,-2.37E-05
0.12825,-4.20E-06,0.000218708,-2.50E-05
0.128769231,-3.52E-06,0.000203265,-2.55E-05
0.129288462,-3.69E-06,0.000141161,-2.15E-05
0.129807692,-4.70E-06,2.58E-05,-1.68E-05
0.130326923,-5.87E-06,-0.000101717,-2.10E-05
0.130846154,-6.55E-06,-8.27E-05,-2.32E-05
0.131365385,-1.04E-05,-3.68E-05,-2.77E-05
0.131884615,-7.39E-06,8.41E-05,-2.70E-05
0.132403846,-5.87E-06,2.13E-05,-2.47E-05
0.132923077,-6.21E-06,-0.000365408,-2.45E-05
0.133442308,-5.04E-06,-0.000497505,-2.50E-05
0.133961538,-2.01E-06,-0.000355505,-2.30E-05
0.134480769,-3.02E-06,-0.00014049,-2.30E-05
0.135,-6.21E-06,-3.42E-05,-2.03E-05
0.135519231,-3.52E-06,-4.15E-05,-2.40E-05
0.136038462,-3.86E-06,-2.25E-05,-2.05E-05
0.136557692,-6.21E-06,-6.04E-06,-2.23E-05
0.137076923,-4.36E-06,-1.17E-06,-2.58E-05
0.137596154,-6.21E-06,1.39E-05,-2.30E-05
0.138115385,-4.87E-06,1.09E-05,-1.64E-05
0.138634615,-1.01E-06,-3.11E-05,-8.22E-06
0.139153846,-3.52E-06,-3.42E-05,-7.55E-06
0.139673077,-5.54E-06,1.49E-05,-6.21E-06
0.140192308,-5.20E-06,4.41E-05,-5.54E-06
0.140711538,-2.85E-06,3.94E-05,-7.55E-06
0.141230769,-7.55E-06,2.97E-05,-2.69E-06
0.14175,-2.18E-06,3.27E-05,1.17E-06
0.142269231,-2.85E-06,4.50E-05,1.17E-06
0.142788462,-6.88E-06,6.28E-05,-3.36E-07
0.143307692,-8.39E-06,4.85E-05,-4.87E-06
0.143826923,-9.40E-06,1.11E-05,-1.49E-05
0.144346154,-7.22E-06,-4.85E-05,-1.70E-05
0.144865385,-7.55E-06,-5.19E-05,-2.57E-05
0.145384615,-5.54E-06,-1.26E-05,-3.07E-05
0.145903846,-4.20E-06,1.81E-05,-2.84E-05
0.146423077,-6.21E-06,4.41E-05,-2.40E-05
0.146942308,-7.72E-06,5.02E-05,-2.64E-05
0.147461538,-9.74E-06,1.46E-05,-2.64E-05
0.147980769,-1.26E-05,-8.56E-05,-2.77E-05
0.1485,-4.70E-06,-0.000138811,-3.00E-05
0.149019231,-8.39E-07,-0.000104906,-2.79E-05
0.149538462,2.85E-06,-6.43E-05,-2.00E-05
0.150057692,4.36E-06,-2.70E-05,-6.21E-06
0.150576923,3.36E-07,-2.74E-05,-6.71E-07
0.151096154,-1.51E-06,-1.68E-07,-2.52E-06
0.151615385,-1.51E-06,8.06E-06,-1.43E-05
0.152134615,-3.19E-06,2.52E-05,-2.45E-05
0.152653846,-5.04E-07,1.12E-05,-3.39E-05
0.153173077,-2.85E-06,7.55E-06,-3.68E-05
0.153692308,-4.20E-06,-5.76E-05,-2.67E-05
0.154211538,-1.68E-06,-0.000201251,-2.47E-05
0.154730769,-3.02E-06,-8.76E-05,-1.80E-05
0.15525,-2.85E-06,0.000241199,-8.22E-06
0.155769231,-4.36E-06,0.000425498,2.85E-06
0.156288462,-6.55E-06,0.000277791,9.23E-06
0.156807692,-7.22E-06,3.52E-05,2.52E-06
0.157326923,6.71E-07,-1.90E-05,-4.87E-06
0.157846154,-2.35E-06,3.02E-05,-7.89E-06
0.158365385,-4.87E-06,1.02E-05,6.71E-07
0.158884615,-1.68E-06,-9.21E-05,4.53E-06
0.159403846,-3.19E-06,-0.000126894,5.20E-06
0.159923077,-2.01E-06,-8.54E-05,-2.35E-06
0.160442308,-3.52E-06,-3.52E-05,-4.53E-06
0.160961538,-1.51E-06,-2.65E-05,1.68E-06
0.161480769,-4.87E-06,-4.68E-05,-1.68E-07
0.162,-1.51E-06,-4.45E-05,-4.03E-06
0.162519231,-3.19E-06,9.15E-05,-8.39E-06
0.163038462,-3.52E-06,0.000279469,-1.39E-05
0.163557692,-4.53E-06,0.000249592,-2.10E-05
0.164076923,-4.53E-06,-4.53E-06,-3.11E-05
0.164596154,-1.51E-06,-8.16E-05,-4.26E-05
0.165115385,-4.20E-06,-0.000109941,-4.48E-05
0.165634615,-3.52E-06,-0.00011783,-4.11E-05
0.166153846,-4.20E-06,-0.000134112,-3.44E-05
0.166673077,-4.53E-06,-0.000126055,-4.28E-05
0.167192308,-5.87E-06,-0.000129412,-4.99E-05
0.167711538,-3.52E-06,-0.000130083,-4.78E-05
0.168230769,8.39E-07,-6.83E-05,-3.34E-05
0.16875,1.51E-06,4.35E-05,-1.09E-05
0.169269231,-1.17E-06,0.0001561,-3.86E-06
0.169788462,2.52E-06,0.000190005,-6.38E-06
0.170307692,1.68E-07,8.85E-05,-1.93E-05
0.170826923,-3.69E-06,-5.66E-05,-3.39E-05
0.171346154,-3.02E-06,-0.000153246,-4.28E-05
0.171865385,-3.36E-07,-0.000224079,-4.72E-05
0.172384615,1.85E-06,-0.000263355,-4.21E-05
0.172903846,6.55E-06,-0.000120684,-2.40E-05
0.173423077,5.20E-06,1.80E-05,-4.53E-06
0.173942308,3.86E-06,5.46E-05,3.02E-06
0.174461538,2.01E-06,0.000111955,8.39E-07
0.174980769,1.68E-06,0.000174899,0
0.1755,1.68E-06,0.000194873,-1.51E-06
0.176019231,3.86E-06,0.00017641,-9.06E-06
0.176538462,-1.01E-06,8.01E-05,-1.90E-05
0.177057692,-3.52E-06,-6.68E-05,-3.12E-05
0.177576923,-5.20E-06,-0.000117662,-3.05E-05
0.178096154,-8.22E-06,-5.96E-05,-2.45E-05
0.178615385,-9.06E-06,-3.71E-05,-1.90E-05
0.179134615,-7.55E-06,-0.000219043,-1.16E-05
0.179653846,-2.01E-06,-0.000223239,-4.70E-06
0.180173077,-3.36E-07,-0.00011632,-5.54E-06
0.180692308,-5.04E-06,-3.56E-05,-2.52E-06
0.181211538,-2.85E-06,-1.53E-05,2.85E-06
0.181730769,-2.35E-06,-6.55E-06,-2.85E-06
0.18225,-1.85E-06,9.55E-05,-1.24E-05
0.182769231,-4.87E-06,0.000196887,-2.22E-05
0.183288462,-6.88E-06,0.000218372,-2.58E-05
0.183807692,-7.55E-06,0.000110948,-2.53E-05
0.184326923,-9.90E-06,-7.55E-05,-1.76E-05
0.184846154,-7.89E-06,-8.91E-05,-1.83E-05
0.185365385,-5.04E-06,-4.25E-05,-1.49E-05
0.185884615,-5.87E-06,-4.72E-05,-1.43E-05
0.186403846,-7.55E-06,-5.89E-05,-9.23E-06
0.186923077,-4.53E-06,-7.44E-05,-1.02E-05
0.187442308,-7.05E-06,1.19E-05,-1.23E-05
0.187961538,-7.89E-06,5.32E-05,-1.73E-05
0.188480769,-8.22E-06,1.06E-05,-1.36E-05
0.189,-6.38E-06,-3.05E-05,-1.09E-05
0.189519231,-3.19E-06,-9.85E-05,-1.46E-05
0.190038462,-3.86E-06,-0.00022475,-2.11E-05
0.190557692,-7.22E-06,-0.000440269,-3.81E-05
0.191076923,-1.29E-05,-0.000388907,-4.46E-05
0.191596154,-7.89E-06,-0.000276112,-3.26E-05
0.192115385,-1.51E-06,-0.000105241,-9.57E-06
0.192634615,-1.68E-07,5.49E-05,1.24E-05
0.193153846,-1.51E-06,0.000186816,1.73E-05
0.193673077,-1.85E-06,0.000199573,-3.36E-07
0.194192308,-6.21E-06,0.000136294,-1.24E-05
0.194711538,-9.74E-06,0.000110277,-1.49E-05
0.195230769,-1.01E-05,9.08E-05,-5.87E-06
0.19575,-1.06E-05,0.00013344,2.35E-06
0.196269231,-9.90E-06,9.38E-05,6.55E-06
0.196788462,-1.09E-05,-4.68E-05,2.69E-06
0.197307692,-8.90E-06,-0.000176074,1.34E-06
0.197826923,-7.89E-06,-0.000201419,-1.02E-05
0.198346154,-7.05E-06,-0.00019353,-1.80E-05
0.198865385,-6.21E-06,-0.000169696,-2.23E-05
0.199384615,-6.71E-06,-8.66E-05,-2.79E-05
0.199903846,-8.56E-06,2.85E-06,-2.47E-05
0.200423077,-6.38E-06,3.74E-05,-2.84E-05
0.200942308,-1.12E-05,1.86E-05,-3.17E-05
0.201461538,-4.87E-06,-2.06E-05,-2.99E-05
0.201980769,-5.54E-06,-4.88E-05,-2.64E-05
0.2025,-4.53E-06,-3.26E-05,-2.47E-05
0.203019231,-5.04E-06,-3.04E-05,-2.90E-05
0.203538462,-6.55E-06,-6.73E-05,-2.64E-05
0.204057692,-6.88E-06,-9.28E-05,-2.57E-05
0.204576923,-7.55E-06,-9.11E-05,-2.00E-05
0.205096154,-5.54E-06,-7.15E-05,-2.10E-05
0.205615385,-6.55E-06,-4.31E-05,-1.98E-05
0.206134615,-7.89E-06,-1.58E-05,-1.41E-05
0.206653846,-7.89E-06,4.87E-06,-1.16E-05
0.207173077,-6.21E-06,2.64E-05,-3.86E-06
0.207692308,-6.88E-06,2.06E-05,8.39E-07
0.208211538,-6.21E-06,9.74E-06,1.85E-06
0.208730769,-2.85E-06,2.67E-05,1.51E-06
0.20925,-4.20E-06,2.53E-05,-3.36E-07
0.209769231,-5.20E-06,3.34E-05,-1.85E-06
0.210288462,-2.85E-06,3.59E-05,-1.36E-05
0.210807692,5.04E-07,-1.16E-05,-1.56E-05
0.211326923,-3.02E-06,-1.28E-05,-1.06E-05
0.211846154,-1.85E-06,1.86E-05,-1.16E-05
0.212365385,-6.55E-06,1.61E-05,-1.43E-05
0.212884615,-4.87E-06,-1.85E-06,-1.34E-05
0.213403846,-9.74E-06,-2.55E-05,-6.55E-06
0.213923077,-3.19E-06,1.68E-06,1.01E-06
0.214442308,-3.52E-06,0.000111284,4.20E-06
0.214961538,-1.17E-06,0.000298268,1.85E-06
0.215480769,-4.36E-06,0.000446983,-5.87E-06
0.216,-7.22E-06,0.00032697,-1.31E-05
0.216519231,-7.05E-06,5.89E-05,-1.70E-05
0.217038462,-5.87E-06,-1.26E-05,-2.25E-05
0.217557692,-5.87E-06,-5.76E-05,-2.27E-05
0.218076923,-8.90E-06,-0.000280812,-1.33E-05
0.218596154,-1.12E-05,-0.000382528,-1.83E-05
0.219115385,-7.72E-06,-0.000229786,-1.70E-05
0.219634615,-5.54E-06,1.98E-05,-1.73E-05
0.220153846,-4.87E-06,0.000151568,-1.59E-05
0.220673077,-8.56E-06,0.000142,-1.83E-05
0.221192308,-5.37E-06,6.16E-05,-1.90E-05
0.221711538,-7.89E-06,-9.13E-05,-2.03E-05
0.222230769,-8.56E-06,-0.00011313,-2.10E-05
0.22275,-1.02E-05,-4.60E-05,-1.63E-05
0.223269231,-8.22E-06,1.28E-05,-8.06E-06
0.223788462,-7.55E-06,4.25E-05,-3.19E-06
0.224307692,-7.89E-06,5.87E-06,-3.69E-06
0.224826923,-8.90E-06,-9.82E-05,-1.19E-05
0.225346154,-7.05E-06,-0.000148714,-2.06E-05
0.225865385,-7.55E-06,-0.000121691,-1.56E-05
0.226384615,-6.21E-06,-5.00E-05,-7.05E-06
0.226903846,-7.72E-06,3.11E-05,8.39E-07
0.227423077,-6.55E-06,8.34E-05,6.21E-06
0.227942308,-9.23E-06,7.64E-05,-2.01E-06
0.228461538,-6.21E-06,-1.51E-05,-1.02E-05
0.228980769,-7.39E-06,-9.99E-05,-1.96E-05
0.2295,-6.55E-06,-0.000108934,-2.47E-05
0.230019231,-1.68E-07,-8.95E-05,-2.57E-05
0.230538462,-4.53E-06,-5.39E-05,-2.06E-05
0.231057692,-4.87E-06,5.15E-05,-1.26E-05
0.231576923,-2.35E-06,0.000117662,-1.36E-05
0.232096154,-3.69E-06,-2.45E-05,-1.53E-05
0.232615385,-7.05E-06,-3.84E-05,-2.25E-05
0.233134615,-1.16E-05,5.87E-06,-3.21E-05
0.233653846,-4.70E-06,7.15E-05,-2.67E-05
0.234173077,-4.87E-06,0.000114305,-1.63E-05
0.234692308,-4.87E-06,0.000157275,-1.12E-05
0.235211538,-3.52E-06,0.000187655,-6.04E-06
0.235730769,-3.52E-06,0.000219043,2.52E-06
0.23625,0,0.000186816,3.86E-06
0.236769231,5.04E-07,-1.23E-05,6.71E-07
0.237288462,-1.51E-06,-0.000179767,-1.09E-05
0.237807692,-1.85E-06,-0.000271412,-2.40E-05
0.238326923,-4.87E-06,-0.00035668,-4.21E-05
0.238846154,-8.73E-06,-0.000282322,-4.01E-05
0.239365385,-8.73E-06,-0.000127901,-1.63E-05
0.239884615,-8.73E-06,-9.99E-05,-2.52E-06
0.240403846,-7.89E-06,9.40E-06,8.73E-06
0.240923077,-8.56E-06,6.73E-05,1.73E-05
0.241442308,-9.23E-06,5.42E-05,1.48E-05
0.241961538,-9.57E-06,9.40E-06,9.40E-06
0.242480769,-9.57E-06,-7.10E-05,1.17E-06
0.243,-8.56E-06,-0.000108431,-7.22E-06
0.243519231,-6.88E-06,-0.000101717,-1.17E-05
0.244038462,-5.20E-06,-3.16E-05,-1.53E-05
0.244557692,-6.21E-06,1.70E-05,-1.80E-05
0.245076923,-3.69E-06,0.000107591,-2.05E-05
0.245596154,-2.69E-06,6.70E-05,-2.99E-05
0.246115385,-2.85E-06,-4.40E-05,-4.53E-05
0.246634615,-5.54E-06,-6.23E-05,-4.72E-05
0.247153846,-4.20E-06,-6.55E-06,-4.48E-05
0.247673077,-6.04E-06,2.03E-05,-3.73E-05
0.248192308,-3.86E-06,-2.01E-06,-2.84E-05
